"","index","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","day","time","premium"
"44","0_0029d467-d1c5-4a83-8385-8ce0f8897b26","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"45","0_002ab260-d249-46fa-83f4-3d1c3cdb8616","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","Sunday","evening","1"
"46","0_002b2e36-21af-4055-897a-e8155d796584","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","Saturday","evening","1"
"47","0_002ba7ee-a3bc-4f40-aeef-39e07d7c39de","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Tuesday","evening","1"
"48","0_002ce345-c1a1-4b90-aac9-13b50b5c709f","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","morning","1"
"49","0_0030107d-d09e-4284-aaa4-4a77d0d31869","0","1","1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","0","0","1","Saturday","evening","0"
"50","0_003033f3-8953-4bcb-94df-62c227ab556e","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"51","0_00314960-6fbb-445e-8c89-5ec21a69f52c","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","Friday","evening","1"
"52","0_0031f3c7-9869-4b6b-89c1-0b4bb04f8496","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","0","Sunday","morning","1"
"53","0_0032b965-74d5-49e9-8272-7b5948320e6e","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","Saturday","latenight","1"
"54","0_00330c55-d1d7-427c-af10-52cb1b6b0361","0","0","1","0","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","1","Sunday","evening","0"
"55","0_003358d4-7930-4361-9830-48159a012f36","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","Sunday","evening","0"
"56","0_0033a562-767b-4694-9b2f-6c6817ec09f7","0","0","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","0","0","1","Sunday","afternoon","1"
"57","0_0035b35a-215a-49db-a49b-0b89ddf096bb","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","Sunday","latenight","1"
"58","0_0037b3da-1968-4902-a79d-31f7bfb60c0e","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"59","0_003c00f6-4017-4c38-a7b6-96d76cd443bb","0","0","1","0","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","Sunday","afternoon","1"
"60","0_003c2b60-1527-48c0-8a89-928cfb08fc66","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","afternoon","1"
"61","0_003fd584-63a1-4411-9de5-08858a99a3f9","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","Sunday","afternoon","1"
"62","0_003fd817-60a2-4b5a-be9c-019988e2d0fd","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","Sunday","morning","1"
"63","0_003fdf83-8906-4cf2-a0d1-508b2c990bef","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"64","0_004068f2-38a7-4b8e-93b2-80e967c57c5f","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"65","0_0040c1f3-634d-4a9d-9b59-28e388e7a69a","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","Sunday","afternoon","1"
"66","0_0040d4d8-a985-4b8e-8cf8-73cf6245029e","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","Sunday","afternoon","1"
"67","0_004178b5-8aa0-464e-ba4f-cb2bb1303d5e","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","Sunday","afternoon","1"
"68","0_004456e5-b2ef-4808-8ffa-d2a3c21348b2","0","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","Sunday","morning","1"
"69","0_0044ef54-9296-4ca3-9e35-c9477cd6643b","0","1","1","0","1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","Sunday","afternoon","1"
"70","0_00460575-91d8-4c25-8ac7-5fc959b7550f","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","Saturday","latenight","1"
"71","0_0047abb7-32a1-4e11-bb62-3919444d7a73","0","1","0","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","0","1","Sunday","morning","1"
"72","0_00489303-3b7a-4398-80cb-c29b2f81832c","0","1","0","1","1","0","1","1","0","0","1","0","1","1","1","1","0","1","1","1","Sunday","afternoon","1"
"73","0_0049477e-187a-41a6-ae4d-46be71e43d1a","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","Sunday","morning","1"
"74","0_004a6522-7c5a-4d3a-9c38-bdbc332e2cbd","0","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","Sunday","evening","0"
"75","0_004b1d55-9826-4033-9a3c-7f7fcbd7c4c8","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","evening","1"
"76","0_004b70e0-bc80-479d-92df-8af5316466b4","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","Sunday","afternoon","1"
"77","0_004bf638-85bb-4a36-b586-ef8b85e205ae","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","Saturday","latenight","1"
"78","0_004c296c-cb68-41bc-bc3e-cfbd3375a9e4","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","morning","1"
"79","0_00509dce-46e9-4f64-82c9-0229e180f4f8","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"80","0_0050b758-ff6c-4a46-9a59-e380d11ad130","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","Saturday","latenight","1"
"81","0_00521af2-7ebf-4c9b-a976-1673c4b16b8b","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","Sunday","morning","1"
"82","0_00529630-d19f-4c57-8418-298976de74b1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Sunday","morning","1"
"83","0_00541e3b-462b-4ce2-8566-f23fc52ea207","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","Sunday","afternoon","1"
"84","0_0055188e-a2cd-4e50-9dd2-d332a9fb0eaa","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","Sunday","afternoon","1"
"85","0_00554df7-96ba-460d-bcce-19270782e592","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","Sunday","afternoon","1"
"86","0_0056c9ec-b7ad-40f4-9ad0-b540fd9f56b2","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"87","0_00574dd4-7f4a-43a7-ad8c-9a7cc2774a8a","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","0"
"88","0_0057a542-a553-41ba-8b5a-f34788664013","0","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","0","1","Sunday","afternoon","0"
"89","0_00584412-67e8-46ae-91d1-8abbd3e376d3","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","Saturday","latenight","1"
"90","0_005b2080-c765-4942-90e1-107e3fcf03d9","0","1","0","1","1","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","Saturday","evening","1"
"91","0_005c5f36-6fc0-4842-a4aa-8e6f1a1202b1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","Sunday","afternoon","1"
"92","0_00602661-ec08-47d0-b23b-dcd249f45ecc","0","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","Sunday","afternoon","1"
"93","0_0062ea71-6c96-4c92-ab70-80b10ba9a3ee","0","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"94","0_006383eb-701c-4c50-9b95-1cf8d05fedd3","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"95","0_00646e66-c627-4e8c-b4a5-f68a30b623a0","0","1","1","1","1","0","1","0","1","1","1","1","0","0","0","1","0","0","1","1","Sunday","afternoon","1"
"96","0_0064bbbd-116a-4c16-8a85-ea7172ae72e9","0","0","1","0","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","Sunday","afternoon","1"
"97","0_00661943-271e-47e2-a03b-80878f266b4e","0","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Sunday","morning","0"
"98","0_0066ecff-ce87-46eb-a7a5-4a3afba17441","0","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","Sunday","afternoon","1"
"99","0_0066f328-68e6-4cef-929f-dc154cfcf99e","0","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","Sunday","afternoon","1"
"100","0_0067b38d-7330-46bb-8ea2-e0d33397df78","0","0","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","0","1","0","Saturday","evening","1"
"101","0_006aba8e-c1e2-4810-8388-462800b65faf","0","1","1","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","Sunday","afternoon","1"
"102","0_006c55a3-478b-463f-a66b-b1be84d65b67","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"103","0_006cad62-b283-4f84-b891-091770d69f6b","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","Sunday","morning","0"
"104","0_006e9323-7524-4fdb-91fe-ff2d121ed951","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","0"
"105","0_007107a3-354f-42d4-9210-61d55bf0e407","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","1","0","1","0","1","Sunday","afternoon","1"
"106","0_0072a930-a9af-499f-b94e-8962d2487e7d","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","evening","1"
"107","0_0073163d-058f-48c6-b76a-0dd2e921e9ad","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","Sunday","morning","1"
"108","0_00734c40-01c0-4a5a-9359-e0a7928fecdc","0","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","Saturday","evening","1"
"109","0_0074b81c-55ef-4d8d-a8e3-132152587791","0","0","0","1","1","0","1","1","0","1","0","1","1","1","1","0","1","1","0","1","Sunday","evening","1"
"110","0_00760c29-cb7f-4efa-8e40-88a1cb270b85","0","1","0","1","1","1","1","0","1","0","0","1","0","0","1","0","0","1","1","1","Saturday","latenight","1"
"111","0_0076c251-9190-4d67-9245-eecfae31ddf8","0","0","0","0","1","1","0","1","1","1","1","0","1","1","1","1","1","1","0","1","Saturday","latenight","1"
"112","0_0077bf96-35e8-4f8a-a5b3-b31a247509a7","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","Sunday","afternoon","1"
"113","0_0078cf2d-b32c-447e-b420-cd1137b3edbe","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","Saturday","latenight","1"
"114","0_007904c8-eb2f-4396-952b-4aae4aa8b597","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","0","0","1","0","0","Sunday","afternoon","1"
"115","0_007b053d-dfc8-4e6d-853a-dedb2e5cbe9b","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","Sunday","evening","1"
"116","0_007b5f8c-8aca-49fc-9fcc-bbf4c0f946af","0","1","1","1","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","1","Sunday","afternoon","1"
"117","0_007b97ed-f58d-48c4-9574-397371fc1eb9","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"118","0_007e4334-2955-4b17-b989-760e31aa08c0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","Sunday","afternoon","1"
"119","0_00800fa7-29f7-48e8-a997-fca500965fe3","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","Sunday","afternoon","0"
"120","0_00806304-9015-4997-9db3-4736008ac8ad","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","Sunday","evening","1"
"121","0_00812183-78b5-4e80-a3f6-a8e13f5870b7","0","1","1","1","1","1","0","1","1","0","0","0","1","0","1","0","1","1","1","1","Sunday","afternoon","1"
"122","0_008129c4-cf1e-404f-b5ff-0e8c48ae947b","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","Saturday","evening","1"
"123","0_00813486-4e98-4d15-ae1c-05a34be6ad57","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"124","0_00828fde-5a6a-4e98-9326-baf6af0de152","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","Sunday","morning","1"
"125","0_00833fa0-4630-4d03-b5f0-2d66caaf71da","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"126","0_00836c0a-ef23-4747-9c5e-4eb041a4c4f2","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","Saturday","latenight","1"
"127","0_00873a9b-8ee5-413e-8c43-b97ae18b64b2","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","Saturday","latenight","1"
"128","0_0087e3bd-28c4-4c3a-9f71-4cb5fc63c1aa","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","Sunday","afternoon","1"
"129","0_0087ea43-1e40-4cfb-861a-a06607bc6481","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","1","1","1","1","Saturday","evening","1"
"130","0_0089c908-98e2-4d04-a92a-f2c901240bd4","0","0","1","1","1","1","0","0","1","0","1","1","1","0","1","1","1","1","1","1","Sunday","morning","0"
"131","0_008a9597-0ae0-4f34-a8b4-ee8f649702ac","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","Sunday","afternoon","1"
"132","0_008b166d-3475-49b2-99ee-a6172dfd7712","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","evening","1"
"133","0_008b48a5-b12b-4778-9251-c5d588f08756","0","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","Sunday","afternoon","1"
"134","0_008b56d9-3f5d-43fe-99ef-0df253f1b5f4","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","Sunday","morning","1"
"135","0_008ca85f-2834-4875-b9fe-b1fd6a285f3e","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","evening","1"
"136","0_008cd69e-7886-457c-842d-a38908a52d6e","0","1","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0","1","0","Saturday","latenight","1"
"137","0_008d1b15-f6b4-4bdf-b124-6ed39b12d362","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","Sunday","afternoon","0"
"138","0_008f56c4-4d92-4226-bca2-ab691c200911","0","1","1","1","0","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","Sunday","afternoon","1"
"139","0_0093403a-1189-46bf-949e-f6cafaff1493","0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","0"
"140","0_00948c9f-8e2b-4cd5-80ac-bf417cc556cc","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","0"
"141","0_0095182d-0e83-4f80-b661-a845c5a6784e","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","0"
"142","0_0095ae25-3b74-44ac-ab0c-4172e8172646","0","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","Sunday","afternoon","0"
"143","0_0096cd3a-dc9f-4a6e-aa50-93ed24e17be5","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","Saturday","latenight","1"
"144","0_0096fbe1-96b5-442f-a9e5-3c125324481b","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","Sunday","evening","1"
"145","0_00971f90-1d2b-4757-b76c-61b7cf30f7c9","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","0"
"146","0_00986631-4bd9-4cfe-a43b-26dcdd7847fb","0","0","1","0","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","Sunday","morning","1"
"147","0_009ac075-9c2b-4787-9f7b-907775a63dbc","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","Sunday","afternoon","1"
"148","0_009ac16e-02ce-4e74-b510-deb68d0af312","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","latenight","1"
"149","0_009cc19c-05a7-4410-b3fe-81e5911c6e5b","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","Saturday","latenight","1"
"150","0_00a0e468-50c1-4810-9e32-4d494080b908","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","morning","1"
"151","0_00a19796-442c-46a5-b3cb-7b35b2331e26","0","0","0","0","1","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","Sunday","afternoon","1"
"152","0_00a1a3b6-611c-46f6-ab6a-a4ac82c4409d","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","Sunday","afternoon","1"
"153","0_00a1acfc-13bb-46ca-b5e3-2ebc67aed4e2","0","1","0","0","1","1","0","0","1","0","1","0","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"154","0_00a25194-5f55-478f-b161-3049bcfb747f","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","afternoon","1"
"155","0_00a2df34-1434-4eb6-9cf6-f27ff71cf99e","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","Sunday","afternoon","1"
"156","0_00a32a51-7874-4b28-b6e7-ce08f376ba77","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","Sunday","morning","0"
"157","0_00a43483-a527-4b60-b4e8-76e802c1ba8d","0","1","0","0","0","1","0","1","0","1","1","1","1","1","0","1","1","0","0","0","Saturday","evening","1"
"158","0_00a4a391-c208-4760-b625-bfad55d6a7bf","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","evening","1"
"159","0_00a507d7-5174-4937-a757-2cc2e985b332","0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","Sunday","morning","1"
"160","0_00a50b86-8ff7-400c-83a0-0c48390682f1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
"161","0_00a51da2-3948-40a8-99a7-0c70f98ae9d6","0","0","0","0","0","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","Saturday","evening","1"
"162","0_00a5bd2e-5f10-45b4-9629-813c2e1a0023","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","Sunday","afternoon","1"
"163","0_00a67fee-09e4-4897-8d59-537277dc1ee3","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Saturday","evening","1"
"164","0_00a6ff04-470e-4b71-a609-39e48468a07b","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","Sunday","morning","1"
"165","0_00a9eb5b-bab1-4261-ae78-0bf502cf7afa","0","1","0","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","Sunday","afternoon","1"
